,urls
143,"http://wyborcza.pl/7,155287,22974561,ludzie-ministra-kultury-orzekna-kto-jest-artysta-i-z-jaka-bedzie.html"
144,"http://wyborcza.pl/7,75398,22976682,tvp-przeprasza-za-laczenie-ustawy-o-ipn-z-reprywatyzacja-pomylka.html"
145,"http://wyborcza.pl/7,75398,22976530,krzysztof-szczerski-pisze-list-do-kongresmenow-przypomina.html"
146,"http://wyborcza.pl/7,155287,22976347,trump-nie-dolozy-sankcji-na-rosje-po-zagadkowej-wizycie-szefow.html"
147,"http://wyborcza.pl/7,75399,22976571,odtajniono-notatke-o-dzialaniach-fbi-to-proba-utracenia-sledztwa.html"
148,"http://wyborcza.pl/7,75398,22976463,zamkna-kolejke-na-kasprowy-wierch-ultimatum-w-tatrach.html"
149,"http://wyborcza.pl/7,154903,22976390,kamil-stoch-wygral-kwalifikacje-na-minimamucie-w-willingen.html"
150,"http://poznan.wyborcza.pl/poznan/7,36001,22973251,joanna-schmidt-wraca-do-klubu-nowoczesnej.html"
151,"http://krakow.wyborcza.pl/krakow/7,44425,22976138,ministerstwo-sprawiedliwosci-juz-nie-chce-delegalizacji-onr-u.html"
152,"http://wyborcza.pl/7,75398,22975993,kanada-komentuje-ustawe-o-ipn-jestesmy-zaniepokojeni-jej-wplywem.html"
153,"http://bydgoszcz.wyborcza.pl/bydgoszcz/7,48722,22973933,xasxcas.html"
154,"http://warszawa.wyborcza.pl/warszawa/7,54420,22973114,w-medicover-znow-odmowiono-pacjentce-recepty-na-ellaone-lekarz.html"
155,"http://wyborcza.pl/7,155287,22975645,rosyjska-gospodarka-wyszla-z-recesji-ale-wzrost-mniejszy-niz.html"
156,"http://wyborcza.pl/7,75398,22975622,burza-wokol-ustawy-o-ipn-kaczynski-nasi-przeciwnicy-sa-bardzo.html"
157,"http://wyborcza.pl/7,75398,22975845,cba-i-abw-zachowaja-dla-siebie-dane-o-narzedziach-masowej-inwigilacji.html"
158,"http://wyborcza.pl/7,75400,22970395,ile-w-czlowieku-biologii-a-ile-kultury-sens-zycia-wedlug.html"
159,"http://krakow.wyborcza.pl/krakow/7,44425,22975092,budowali-z-lego-miasto-przyszlosci-w-ciszy-i-bez-smartfonow.html"
160,"http://wyborcza.biz/biznes/7,147758,22964994,za-rozwoj-elektrycznej-motoryzacji-zaplaca-nabywcy-mieszkan.html"
161,"http://kielce.wyborcza.pl/kielce/7,47262,22975048,po-apeluje-do-wojewody-w-sprawie-prof-chazana-nominacja-napluciem.html"
162,"http://wyborcza.pl/7,75399,22975341,onz-nie-jestesmy-w-stanie-pomagac-syryjczykom-sytuacja-najgorsza.html"
163,"http://poznan.wyborcza.pl/poznan/7,36001,22973528,wojt-powidza-wprowadza-cenzure-w-bibliotece-znikaja-newsweek.html"
