,urls
169,"http://czestochowa.wyborcza.pl/czestochowa/7,48725,24643530,slynny-z-zakazu-wstepu-dla-lewakow-pub-cosmo-konczy-dzialalnosc.html"
170,"http://warszawa.wyborcza.pl/warszawa/7,54420,24649629,dwie-osoby-powalcza-o-stanowisko-dyrektora-muzeum-polin.html"
171,"http://wyborcza.pl/7,75399,24645878,glodzone-bite-upokarzane-sluzace-z-biednych-krajow-azji-w.html"
172,"http://wyborcza.pl/7,75399,24646835,francuzi-podsumowuja-wielka-debate-o-panstwie-miala-wiecej.html"
173,"http://wyborcza.pl/7,75398,24648332,prokuratura-ziobry-zastrasza-sedzie-chce-kopiowac-jej-dysk.html"
174,"http://wyborcza.pl/TylkoZdrowie/7,157387,24647811,pogoda-w-weekend-13-i-14-kwietnia-2019-r.html"
175,"http://wyborcza.pl/7,155287,24646638,cierpliwosc-plus-obiecane-przez-rzad-100-tys-mieszkan-plus.html"
176,"http://szczecin.wyborcza.pl/szczecin/7,34939,24650069,jestesmy-z-wami-jestesmy-dla-was-za-pasje-kochamy.html"
177,"http://bialystok.wyborcza.pl/bialystok/7,35241,24648611,strajk-nauczycieli-akcja-solidarnosci-przed-kuratorium-w-bialymstoku.html"
178,"http://krakow.wyborcza.pl/krakow/7,44425,24648576,arcybractwo-meki-panskiej-wyrzucilo-fotoreportera-wyborczej.html"
179,"http://warszawa.wyborcza.pl/warszawa/7,54420,24648930,tysiace-osob-demonstruja-na-pl-zamkowym-wielka-manifestacja.html"
180,"http://wyborcza.pl/7,101707,24648789,gwiezdne-wojny-jest-tytul-i-zwiastun-9-czesci-czego-sie.html"
181,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24648029,strajk-nauczycieli-wroclawski-ratusz-ostrzega-dyrektorow.html"
182,"http://wyborcza.pl/7,75398,24648569,grochowka-ciasto-dobre-slowo-jak-polacy-wspieraja-strajkujacych.html"
183,"http://katowice.wyborcza.pl/katowice/7,35063,24646949,ratownicy-pojda-po-ciala-polskich-gornikow-ktorzy-zgineli-w.html"
184,"http://warszawa.wyborcza.pl/warszawa/7,54420,24648037,zabil-wlasciciela-warzywniaka-na-dolnym-mokotowie-sa-zarzuty.html"
